base_id,variant_id,variant_index,domain,requirement_text,smells,applied_rules
B-013,B-013-S07,7,Event Management System,The system shall allow a user to view detailed information for a selected event including description and organizer name in order to support auditing and regulatory compliance and behaves in the same way as described above so that all relevant stakeholders are notified appropriately during normal operation when appropriate conditions are met.,"[""embedded_rationale_or_justification"", ""excessive_or_insufficient_coupling"", ""implicit_requirement"", ""incomplete_reference_or_condition""]","[""embedded_rationale_or_justification:add_in_order_to"", ""excessive_or_insufficient_coupling:add_as_described_above"", ""implicit_requirement:add_so_that_notification"", ""incomplete_reference_or_condition:add_vague_condition""]"
B-013,B-013-S08,8,Event Management System,"After processing is complete, The system for at least a short period of time.","[""incomplete_requirement"", ""incorrect_or_confusing_order"", ""language_error_or_grammar_issue"", ""loophole_or_open_ended""]","[""incomplete_requirement:remove_main_action"", ""incorrect_or_confusing_order:prepend_after_clause"", ""language_error_or_grammar_issue:introduce_grammar_error"", ""loophole_or_open_ended:add_at_least""]"
B-014,B-014-S01,1,Event Management System,The system  allow an authorized user to cancel an event and record a cancellation reason.,"[""missing_imperative_verb""]","[""missing_imperative_verb:remove_shall""]"
B-014,B-014-S02,2,Event Management System,If the described condition occurs within 5.,"[""missing_system_response"", ""missing_unit_of_measurement""]","[""missing_system_response:replace_with_if_only"", ""missing_unit_of_measurement:add_bare_number""]"
B-014,B-014-S03,3,Event Management System,The system shall allow an authorized user to cancel an event and record a cancellation reason and shall not allow unauthorized access and send a notification email to the administrator.,"[""negative_formulation"", ""non_atomic_requirement""]","[""negative_formulation:add_shall_not_allow"", ""non_atomic_requirement:add_notification_action""]"
B-014,B-014-S04,4,Event Management System,"Validate input, log the error, send a notification, restart the service including user identifier, timestamp, action, etc..","[""non_verifiable_qualifier"", ""overuse_imperative_form"", ""partial_content_or_incomplete_enumeration""]","[""non_verifiable_qualifier:add_minimal_delay"", ""overuse_imperative_form:replace_with_command_list"", ""partial_content_or_incomplete_enumeration:add_etc_list""]"
B-014,B-014-S05,5,Event Management System,The system shall be allow an authorized user to cancel an event and record a cancellation reason. for a large number of users.,"[""passive_voice"", ""punctuation_issue"", ""quantifier_without_unit_or_range""]","[""passive_voice:system_shall_be_pattern"", ""punctuation_issue:remove_commas_and_double_period"", ""quantifier_without_unit_or_range:add_large_number""]"
B-014,B-014-S06,6,Event Management System,The system shall allow an authorized user to cancel an event and record a cancellation reason through a user-friendly and intuitive interface using the best and more secure method and then the system shall log the operation in the audit trail and then the system shall update the internal statistics.,"[""subjective_language"", ""superlative_or_comparative_without_reference"", ""too_long_sentence""]","[""subjective_language:add_user_friendly_interface"", ""superlative_or_comparative_without_reference:add_best_method"", ""too_long_sentence:add_and_then_chain""]"
B-014,B-014-S07,7,Event Management System,"Lock account and update the internal Compliance Index which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures.","[""too_many_dependencies_or_versions"", ""too_short_sentence"", ""undefined_term"", ""unreadable_structure""]","[""too_many_dependencies_or_versions:add_many_req_refs"", ""too_short_sentence:replace_with_fragment"", ""undefined_term:add_compliance_index"", ""unreadable_structure:add_nested_clause""]"
B-014,B-014-S08,8,Event Management System,The system shall allow an authorized user to cancel an event and record a cancellation reason under normal conditions and as appropriate and this shall be handled later according to internal policies KYC AML and PCI DSS and display the message on screens.,"[""vague_or_implicit_terms"", ""vague_pronoun_or_reference"", ""acronym_overuse_or_abbrev"", ""ambiguous_plurality""]","[""vague_or_implicit_terms:add_normal_conditions"", ""vague_pronoun_or_reference:add_this_reference"", ""acronym_overuse_or_abbrev:add_unexplained_acronyms"", ""ambiguous_plurality:add_screens_scope""]"
B-015,B-015-S01,1,Event Management System,The system may send a notification to each registered participant when an event is cancelled if possible.,"[""conditional_or_non_assertive_requirement""]","[""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible""]"
B-015,B-015-S02,2,Event Management System,The system shall send a notification to each registered participant when an event is cancelled as specified in section 2.1.3.4.2.1 of the design document using a PostgreSQL database and a React-based web interface.,"[""deep_nesting_or_structure_issue"", ""design_or_implementation_detail""]","[""deep_nesting_or_structure_issue:add_deep_section_reference"", ""design_or_implementation_detail:add_tech_stack""]"
B-015,B-015-S03,3,Event Management System,The system shall send a notification to each registered participant when an event is cancelled in accordance with KYC AML PCI DSS and SOX requirements in order to support auditing and regulatory compliance.,"[""domain_term_imbalance"", ""embedded_rationale_or_justification""]","[""domain_term_imbalance:add_many_domain_acronyms"", ""embedded_rationale_or_justification:add_in_order_to""]"
B-015,B-015-S04,4,Event Management System,The system shall send a notification to each registered participant when an event is cancelled and behaves in the same way as described above so that all relevant stakeholders are notified appropriately during normal operation when appropriate conditions are met.,"[""excessive_or_insufficient_coupling"", ""implicit_requirement"", ""incomplete_reference_or_condition""]","[""excessive_or_insufficient_coupling:add_as_described_above"", ""implicit_requirement:add_so_that_notification"", ""incomplete_reference_or_condition:add_vague_condition""]"
B-015,B-015-S05,5,Event Management System,"After processing is complete, The system.","[""incomplete_requirement"", ""incorrect_or_confusing_order"", ""language_error_or_grammar_issue""]","[""incomplete_requirement:remove_main_action"", ""incorrect_or_confusing_order:prepend_after_clause"", ""language_error_or_grammar_issue:introduce_grammar_error""]"
B-015,B-015-S06,6,Event Management System,when an event is cancelled for at least a short period of time.,"[""loophole_or_open_ended"", ""missing_imperative_verb"", ""missing_system_response""]","[""loophole_or_open_ended:add_at_least"", ""missing_imperative_verb:remove_shall"", ""missing_system_response:keep_condition_only""]"
B-015,B-015-S07,7,Event Management System,The system shall send a notification to each registered participant when an event is cancelled within 5 and shall not allow unauthorized access and send a notification email to the administrator with minimal delay whenever possible.,"[""missing_unit_of_measurement"", ""negative_formulation"", ""non_atomic_requirement"", ""non_verifiable_qualifier""]","[""missing_unit_of_measurement:add_bare_number"", ""negative_formulation:add_shall_not_allow"", ""non_atomic_requirement:add_notification_action"", ""non_verifiable_qualifier:add_minimal_delay""]"
B-015,B-015-S08,8,Event Management System,Validate input log the error send a notification restart the service including user identifier timestamp action etc. It shall be ensured that this requirement is fulfilled..,"[""overuse_imperative_form"", ""partial_content_or_incomplete_enumeration"", ""passive_voice"", ""punctuation_issue""]","[""overuse_imperative_form:replace_with_command_list"", ""partial_content_or_incomplete_enumeration:add_etc_list"", ""passive_voice:add_it_shall_be_ensured"", ""punctuation_issue:remove_commas_and_double_period""]"
B-016,B-016-S01,1,Event Management System,The system shall prevent a user from registering for an event after the event start time for a large number of users.,"[""quantifier_without_unit_or_range""]","[""quantifier_without_unit_or_range:add_large_number""]"
B-016,B-016-S02,2,Event Management System,The system shall prevent a user from registering for an event after the event start time through a user-friendly and intuitive interface using the best and more secure method.,"[""subjective_language"", ""superlative_or_comparative_without_reference""]","[""subjective_language:add_user_friendly_interface"", ""superlative_or_comparative_without_reference:add_best_method""]"
B-016,B-016-S03,3,Event Management System,"The system shall prevent a user from registering for an event after the event start time and then the system shall log the operation in the audit trail and then the system shall update the internal statistics as defined in REQ-101, REQ-204, REQ-305, and REQ-409.","[""too_long_sentence"", ""too_many_dependencies_or_versions""]","[""too_long_sentence:add_and_then_chain"", ""too_many_dependencies_or_versions:add_many_req_refs""]"
B-016,B-016-S04,4,Event Management System,"Lock account and update the internal Compliance Index which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures.","[""too_short_sentence"", ""undefined_term"", ""unreadable_structure""]","[""too_short_sentence:replace_with_fragment"", ""undefined_term:add_compliance_index"", ""unreadable_structure:add_nested_clause""]"
B-016,B-016-S05,5,Event Management System,The system shall prevent a user from registering for an event after the event start time under normal conditions and as appropriate and this shall be handled later according to internal policies KYC AML and PCI DSS.,"[""vague_or_implicit_terms"", ""vague_pronoun_or_reference"", ""acronym_overuse_or_abbrev""]","[""vague_or_implicit_terms:add_normal_conditions"", ""vague_pronoun_or_reference:add_this_reference"", ""acronym_overuse_or_abbrev:add_unexplained_acronyms""]"
B-016,B-016-S06,6,Event Management System,The system may prevent a user from registering for an event after the event start time and display the message on screens if possible as specified in section 2.1.3.4.2.1 of the design document.,"[""ambiguous_plurality"", ""conditional_or_non_assertive_requirement"", ""deep_nesting_or_structure_issue""]","[""ambiguous_plurality:add_screens_scope"", ""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible"", ""deep_nesting_or_structure_issue:add_deep_section_reference""]"
B-016,B-016-S07,7,Event Management System,The system shall prevent a user from registering for an event after the event start time using a PostgreSQL database and a React-based web interface in accordance with KYC AML PCI DSS and SOX requirements in order to support auditing and regulatory compliance and behaves in the same way as described above.,"[""design_or_implementation_detail"", ""domain_term_imbalance"", ""embedded_rationale_or_justification"", ""excessive_or_insufficient_coupling""]","[""design_or_implementation_detail:add_tech_stack"", ""domain_term_imbalance:add_many_domain_acronyms"", ""embedded_rationale_or_justification:add_in_order_to"", ""excessive_or_insufficient_coupling:add_as_described_above""]"
B-016,B-016-S08,8,Event Management System,"After processing is complete, The system.","[""implicit_requirement"", ""incomplete_reference_or_condition"", ""incomplete_requirement"", ""incorrect_or_confusing_order""]","[""implicit_requirement:add_so_that_notification"", ""incomplete_reference_or_condition:add_vague_condition"", ""incomplete_requirement:remove_main_action"", ""incorrect_or_confusing_order:prepend_after_clause""]"
B-017,B-017-S01,1,Event Management System,The system will allow a user to unregister from an event until two hours before the event start time.,"[""language_error_or_grammar_issue""]","[""language_error_or_grammar_issue:introduce_grammar_error""]"
B-017,B-017-S02,2,Event Management System,The system  allow a user to unregister from an event until two hours before the event start time for at least a short period of time.,"[""loophole_or_open_ended"", ""missing_imperative_verb""]","[""loophole_or_open_ended:add_at_least"", ""missing_imperative_verb:remove_shall""]"
B-017,B-017-S03,3,Event Management System,If the described condition occurs within 5.,"[""missing_system_response"", ""missing_unit_of_measurement""]","[""missing_system_response:replace_with_if_only"", ""missing_unit_of_measurement:add_bare_number""]"
B-017,B-017-S04,4,Event Management System,The system shall allow a user to unregister from an event until two hours before the event start time and shall not allow unauthorized access and send a notification email to the administrator with minimal delay whenever possible.,"[""negative_formulation"", ""non_atomic_requirement"", ""non_verifiable_qualifier""]","[""negative_formulation:add_shall_not_allow"", ""non_atomic_requirement:add_notification_action"", ""non_verifiable_qualifier:add_minimal_delay""]"
B-017,B-017-S05,5,Event Management System,"Validate input, log the error, send a notification, restart the service including user identifier, timestamp, action, etc. It shall be ensured that this requirement is fulfilled.","[""overuse_imperative_form"", ""partial_content_or_incomplete_enumeration"", ""passive_voice""]","[""overuse_imperative_form:replace_with_command_list"", ""partial_content_or_incomplete_enumeration:add_etc_list"", ""passive_voice:add_it_shall_be_ensured""]"
B-017,B-017-S06,6,Event Management System,The system shall allow a user to unregister from an event until two hours before the event start time. for a large number of users through a user-friendly and intuitive interface.,"[""punctuation_issue"", ""quantifier_without_unit_or_range"", ""subjective_language""]","[""punctuation_issue:remove_commas_and_double_period"", ""quantifier_without_unit_or_range:add_large_number"", ""subjective_language:add_user_friendly_interface""]"
B-017,B-017-S07,7,Event Management System,Lock account.,"[""superlative_or_comparative_without_reference"", ""too_long_sentence"", ""too_many_dependencies_or_versions"", ""too_short_sentence""]","[""superlative_or_comparative_without_reference:add_best_method"", ""too_long_sentence:add_and_then_chain"", ""too_many_dependencies_or_versions:add_many_req_refs"", ""too_short_sentence:replace_with_fragment""]"
B-017,B-017-S08,8,Event Management System,"The system shall allow a user to unregister from an event until two hours before the event start time and update the internal Compliance Index which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures under normal conditions and as appropriate and this shall be handled later.","[""undefined_term"", ""unreadable_structure"", ""vague_or_implicit_terms"", ""vague_pronoun_or_reference""]","[""undefined_term:add_compliance_index"", ""unreadable_structure:add_nested_clause"", ""vague_or_implicit_terms:add_normal_conditions"", ""vague_pronoun_or_reference:add_this_reference""]"
B-018,B-018-S01,1,Event Management System,The system shall record the date and time when a user registers for an event according to internal policies KYC AML and PCI DSS.,"[""acronym_overuse_or_abbrev""]","[""acronym_overuse_or_abbrev:add_unexplained_acronyms""]"
B-018,B-018-S02,2,Event Management System,The system may record the date and time when a user registers for an event and display the message on screens if possible.,"[""ambiguous_plurality"", ""conditional_or_non_assertive_requirement""]","[""ambiguous_plurality:add_screens_scope"", ""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible""]"
B-018,B-018-S03,3,Event Management System,The system shall record the date and time when a user registers for an event as specified in section 2.1.3.4.2.1 of the design document using a PostgreSQL database and a React-based web interface.,"[""deep_nesting_or_structure_issue"", ""design_or_implementation_detail""]","[""deep_nesting_or_structure_issue:add_deep_section_reference"", ""design_or_implementation_detail:add_tech_stack""]"
B-018,B-018-S04,4,Event Management System,The system shall record the date and time when a user registers for an event in accordance with KYC AML PCI DSS and SOX requirements in order to support auditing and regulatory compliance and behaves in the same way as described above.,"[""domain_term_imbalance"", ""embedded_rationale_or_justification"", ""excessive_or_insufficient_coupling""]","[""domain_term_imbalance:add_many_domain_acronyms"", ""embedded_rationale_or_justification:add_in_order_to"", ""excessive_or_insufficient_coupling:add_as_described_above""]"
B-018,B-018-S05,5,Event Management System,The system.,"[""implicit_requirement"", ""incomplete_reference_or_condition"", ""incomplete_requirement""]","[""implicit_requirement:add_so_that_notification"", ""incomplete_reference_or_condition:add_vague_condition"", ""incomplete_requirement:remove_main_action""]"
B-018,B-018-S06,6,Event Management System,"After processing is complete, The system will record the date and time when a user registers for an event for at least a short period of time.","[""incorrect_or_confusing_order"", ""language_error_or_grammar_issue"", ""loophole_or_open_ended""]","[""incorrect_or_confusing_order:prepend_after_clause"", ""language_error_or_grammar_issue:introduce_grammar_error"", ""loophole_or_open_ended:add_at_least""]"
B-018,B-018-S07,7,Event Management System,when a user registers for an event within 5 and shall not allow unauthorized access.,"[""missing_imperative_verb"", ""missing_system_response"", ""missing_unit_of_measurement"", ""negative_formulation""]","[""missing_imperative_verb:remove_shall"", ""missing_system_response:keep_condition_only"", ""missing_unit_of_measurement:add_bare_number"", ""negative_formulation:add_shall_not_allow""]"
B-018,B-018-S08,8,Event Management System,"Validate input, log the error, send a notification, restart the service including user identifier, timestamp, action, etc..","[""non_atomic_requirement"", ""non_verifiable_qualifier"", ""overuse_imperative_form"", ""partial_content_or_incomplete_enumeration""]","[""non_atomic_requirement:add_notification_action"", ""non_verifiable_qualifier:add_minimal_delay"", ""overuse_imperative_form:replace_with_command_list"", ""partial_content_or_incomplete_enumeration:add_etc_list""]"
B-019,B-019-S01,1,Event Management System,The system shall be display the current number of registered participants for each event.,"[""passive_voice""]","[""passive_voice:system_shall_be_pattern""]"
B-019,B-019-S02,2,Event Management System,The system shall display the current number of registered participants for each event. for a large number of users.,"[""punctuation_issue"", ""quantifier_without_unit_or_range""]","[""punctuation_issue:remove_commas_and_double_period"", ""quantifier_without_unit_or_range:add_large_number""]"
B-019,B-019-S03,3,Event Management System,The system shall display the current number of registered participants for each event through a user-friendly and intuitive interface using the best and more secure method.,"[""subjective_language"", ""superlative_or_comparative_without_reference""]","[""subjective_language:add_user_friendly_interface"", ""superlative_or_comparative_without_reference:add_best_method""]"
B-019,B-019-S04,4,Event Management System,Lock account.,"[""too_long_sentence"", ""too_many_dependencies_or_versions"", ""too_short_sentence""]","[""too_long_sentence:add_and_then_chain"", ""too_many_dependencies_or_versions:add_many_req_refs"", ""too_short_sentence:replace_with_fragment""]"
B-019,B-019-S05,5,Event Management System,"The system shall display the current number of registered participants for each event and update the internal Compliance Index which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures under normal conditions and as appropriate.","[""undefined_term"", ""unreadable_structure"", ""vague_or_implicit_terms""]","[""undefined_term:add_compliance_index"", ""unreadable_structure:add_nested_clause"", ""vague_or_implicit_terms:add_normal_conditions""]"
B-019,B-019-S06,6,Event Management System,The system shall display the current number of registered participants for each event and this shall be handled later according to internal policies KYC AML and PCI DSS and display the message on screens.,"[""vague_pronoun_or_reference"", ""acronym_overuse_or_abbrev"", ""ambiguous_plurality""]","[""vague_pronoun_or_reference:add_this_reference"", ""acronym_overuse_or_abbrev:add_unexplained_acronyms"", ""ambiguous_plurality:add_screens_scope""]"
B-019,B-019-S07,7,Event Management System,The system may display the current number of registered participants for each event if possible as specified in section 2.1.3.4.2.1 of the design document using a PostgreSQL database and a React-based web interface in accordance with KYC AML PCI DSS and SOX requirements.,"[""conditional_or_non_assertive_requirement"", ""deep_nesting_or_structure_issue"", ""design_or_implementation_detail"", ""domain_term_imbalance""]","[""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible"", ""deep_nesting_or_structure_issue:add_deep_section_reference"", ""design_or_implementation_detail:add_tech_stack"", ""domain_term_imbalance:add_many_domain_acronyms""]"
B-019,B-019-S08,8,Event Management System,The system shall display the current number of registered participants for each event in order to support auditing and regulatory compliance and behaves in the same way as described above so that all relevant stakeholders are notified appropriately during normal operation when appropriate conditions are met.,"[""embedded_rationale_or_justification"", ""excessive_or_insufficient_coupling"", ""implicit_requirement"", ""incomplete_reference_or_condition""]","[""embedded_rationale_or_justification:add_in_order_to"", ""excessive_or_insufficient_coupling:add_as_described_above"", ""implicit_requirement:add_so_that_notification"", ""incomplete_reference_or_condition:add_vague_condition""]"
B-020,B-020-S01,1,Event Management System,The system.,"[""incomplete_requirement""]","[""incomplete_requirement:remove_main_action""]"
B-020,B-020-S02,2,Event Management System,"After processing is complete, The system will prevent the number of registered participants for an event from exceeding the configured capacity for that event.","[""incorrect_or_confusing_order"", ""language_error_or_grammar_issue""]","[""incorrect_or_confusing_order:prepend_after_clause"", ""language_error_or_grammar_issue:introduce_grammar_error""]"
B-020,B-020-S03,3,Event Management System,The system  prevent the number of registered participants for an event from exceeding the configured capacity for that event for at least a short period of time.,"[""loophole_or_open_ended"", ""missing_imperative_verb""]","[""loophole_or_open_ended:add_at_least"", ""missing_imperative_verb:remove_shall""]"
B-020,B-020-S04,4,Event Management System,If the described condition occurs within 5 and shall not allow unauthorized access.,"[""missing_system_response"", ""missing_unit_of_measurement"", ""negative_formulation""]","[""missing_system_response:replace_with_if_only"", ""missing_unit_of_measurement:add_bare_number"", ""negative_formulation:add_shall_not_allow""]"
B-020,B-020-S05,5,Event Management System,"Validate input, log the error, send a notification, restart the service.","[""non_atomic_requirement"", ""non_verifiable_qualifier"", ""overuse_imperative_form""]","[""non_atomic_requirement:add_notification_action"", ""non_verifiable_qualifier:add_minimal_delay"", ""overuse_imperative_form:replace_with_command_list""]"
B-020,B-020-S06,6,Event Management System,The system shall be prevent the number of registered participants for an event from exceeding the configured capacity for that event including user identifier timestamp action etc..,"[""partial_content_or_incomplete_enumeration"", ""passive_voice"", ""punctuation_issue""]","[""partial_content_or_incomplete_enumeration:add_etc_list"", ""passive_voice:system_shall_be_pattern"", ""punctuation_issue:remove_commas_and_double_period""]"
B-020,B-020-S07,7,Event Management System,The system shall prevent the number of registered participants for an event from exceeding the configured capacity for that event for a large number of users through a user-friendly and intuitive interface using the best and more secure method and then the system shall log the operation in the audit trail and then the system shall update the internal statistics.,"[""quantifier_without_unit_or_range"", ""subjective_language"", ""superlative_or_comparative_without_reference"", ""too_long_sentence""]","[""quantifier_without_unit_or_range:add_large_number"", ""subjective_language:add_user_friendly_interface"", ""superlative_or_comparative_without_reference:add_best_method"", ""too_long_sentence:add_and_then_chain""]"
B-020,B-020-S08,8,Event Management System,"Lock account and update the internal Compliance Index which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures.","[""too_many_dependencies_or_versions"", ""too_short_sentence"", ""undefined_term"", ""unreadable_structure""]","[""too_many_dependencies_or_versions:add_many_req_refs"", ""too_short_sentence:replace_with_fragment"", ""undefined_term:add_compliance_index"", ""unreadable_structure:add_nested_clause""]"
B-021,B-021-S01,1,User Management System,"The system shall allow an administrator to create a new user account with username, initial password, and assigned role under normal conditions and as appropriate.","[""vague_or_implicit_terms""]","[""vague_or_implicit_terms:add_normal_conditions""]"
B-021,B-021-S02,2,User Management System,"The system shall allow an administrator to create a new user account with username, initial password, and assigned role and this shall be handled later according to internal policies KYC AML and PCI DSS.","[""vague_pronoun_or_reference"", ""acronym_overuse_or_abbrev""]","[""vague_pronoun_or_reference:add_this_reference"", ""acronym_overuse_or_abbrev:add_unexplained_acronyms""]"
B-021,B-021-S03,3,User Management System,"The system may allow an administrator to create a new user account with username, initial password, and assigned role and display the message on screens if possible.","[""ambiguous_plurality"", ""conditional_or_non_assertive_requirement""]","[""ambiguous_plurality:add_screens_scope"", ""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible""]"
B-021,B-021-S04,4,User Management System,"The system shall allow an administrator to create a new user account with username, initial password, and assigned role as specified in section 2.1.3.4.2.1 of the design document using a PostgreSQL database and a React-based web interface in accordance with KYC AML PCI DSS and SOX requirements.","[""deep_nesting_or_structure_issue"", ""design_or_implementation_detail"", ""domain_term_imbalance""]","[""deep_nesting_or_structure_issue:add_deep_section_reference"", ""design_or_implementation_detail:add_tech_stack"", ""domain_term_imbalance:add_many_domain_acronyms""]"
B-021,B-021-S05,5,User Management System,"The system shall allow an administrator to create a new user account with username, initial password, and assigned role in order to support auditing and regulatory compliance and behaves in the same way as described above so that all relevant stakeholders are notified appropriately.","[""embedded_rationale_or_justification"", ""excessive_or_insufficient_coupling"", ""implicit_requirement""]","[""embedded_rationale_or_justification:add_in_order_to"", ""excessive_or_insufficient_coupling:add_as_described_above"", ""implicit_requirement:add_so_that_notification""]"
B-021,B-021-S06,6,User Management System,"After processing is complete, The system.","[""incomplete_reference_or_condition"", ""incomplete_requirement"", ""incorrect_or_confusing_order""]","[""incomplete_reference_or_condition:add_vague_condition"", ""incomplete_requirement:remove_main_action"", ""incorrect_or_confusing_order:prepend_after_clause""]"
B-021,B-021-S07,7,User Management System,If the described condition occurs.,"[""language_error_or_grammar_issue"", ""loophole_or_open_ended"", ""missing_imperative_verb"", ""missing_system_response""]","[""language_error_or_grammar_issue:introduce_grammar_error"", ""loophole_or_open_ended:add_at_least"", ""missing_imperative_verb:remove_shall"", ""missing_system_response:replace_with_if_only""]"
B-021,B-021-S08,8,User Management System,"The system shall allow an administrator to create a new user account with username, initial password, and assigned role within 5 and shall not allow unauthorized access and send a notification email to the administrator with minimal delay whenever possible.","[""missing_unit_of_measurement"", ""negative_formulation"", ""non_atomic_requirement"", ""non_verifiable_qualifier""]","[""missing_unit_of_measurement:add_bare_number"", ""negative_formulation:add_shall_not_allow"", ""non_atomic_requirement:add_notification_action"", ""non_verifiable_qualifier:add_minimal_delay""]"
B-022,B-022-S01,1,User Management System,"Validate input, log the error, send a notification, restart the service.","[""overuse_imperative_form""]","[""overuse_imperative_form:replace_with_command_list""]"
B-022,B-022-S02,2,User Management System,"The system shall be require a user to change the initial password at the first successful login including user identifier, timestamp, action, etc.","[""partial_content_or_incomplete_enumeration"", ""passive_voice""]","[""partial_content_or_incomplete_enumeration:add_etc_list"", ""passive_voice:system_shall_be_pattern""]"
B-022,B-022-S03,3,User Management System,The system shall require a user to change the initial password at the first successful login. for a large number of users.,"[""punctuation_issue"", ""quantifier_without_unit_or_range""]","[""punctuation_issue:remove_commas_and_double_period"", ""quantifier_without_unit_or_range:add_large_number""]"
B-022,B-022-S04,4,User Management System,The system shall require a user to change the initial password at the first successful login through a user-friendly and intuitive interface using the best and more secure method and then the system shall log the operation in the audit trail and then the system shall update the internal statistics.,"[""subjective_language"", ""superlative_or_comparative_without_reference"", ""too_long_sentence""]","[""subjective_language:add_user_friendly_interface"", ""superlative_or_comparative_without_reference:add_best_method"", ""too_long_sentence:add_and_then_chain""]"
B-022,B-022-S05,5,User Management System,Lock account and update the internal Compliance Index.,"[""too_many_dependencies_or_versions"", ""too_short_sentence"", ""undefined_term""]","[""too_many_dependencies_or_versions:add_many_req_refs"", ""too_short_sentence:replace_with_fragment"", ""undefined_term:add_compliance_index""]"
B-022,B-022-S06,6,User Management System,"The system shall require a user to change the initial password at the first successful login which, when combined with other operations that may occur during processing, shall be handled in accordance with the internal procedures under normal conditions and as appropriate and this shall be handled later.","[""unreadable_structure"", ""vague_or_implicit_terms"", ""vague_pronoun_or_reference""]","[""unreadable_structure:add_nested_clause"", ""vague_or_implicit_terms:add_normal_conditions"", ""vague_pronoun_or_reference:add_this_reference""]"
B-022,B-022-S07,7,User Management System,The system may require a user to change the initial password at the first successful login according to internal policies KYC AML and PCI DSS and display the message on screens if possible as specified in section 2.1.3.4.2.1 of the design document.,"[""acronym_overuse_or_abbrev"", ""ambiguous_plurality"", ""conditional_or_non_assertive_requirement"", ""deep_nesting_or_structure_issue""]","[""acronym_overuse_or_abbrev:add_unexplained_acronyms"", ""ambiguous_plurality:add_screens_scope"", ""conditional_or_non_assertive_requirement:replace_shall_with_may_if_possible"", ""deep_nesting_or_structure_issue:add_deep_section_reference""]"
B-022,B-022-S08,8,User Management System,The system shall require a user to change the initial password at the first successful login using a PostgreSQL database and a React-based web interface in accordance with KYC AML PCI DSS and SOX requirements in order to support auditing and regulatory compliance and behaves in the same way as described above.,"[""design_or_implementation_detail"", ""domain_term_imbalance"", ""embedded_rationale_or_justification"", ""excessive_or_insufficient_coupling""]","[""design_or_implementation_detail:add_tech_stack"", ""domain_term_imbalance:add_many_domain_acronyms"", ""embedded_rationale_or_justification:add_in_order_to"", ""excessive_or_insufficient_coupling:add_as_described_above""]"
B-023,B-023-S01,1,User Management System,The system shall lock a user account after five consecutive failed login attempts within ten minutes so that all relevant stakeholders are notified appropriately.,"[""implicit_requirement""]","[""implicit_requirement:add_so_that_notification""]"
B-023,B-023-S02,2,User Management System,The system.,"[""incomplete_reference_or_condition"", ""incomplete_requirement""]","[""incomplete_reference_or_condition:add_vague_condition"", ""incomplete_requirement:remove_main_action""]"
B-023,B-023-S03,3,User Management System,"after five consecutive failed login attempt within ten minutes, The system shall lock a user account.","[""incorrect_or_confusing_order"", ""language_error_or_grammar_issue""]","[""incorrect_or_confusing_order:swap_condition_and_action"", ""language_error_or_grammar_issue:introduce_grammar_error""]"
B-023,B-023-S04,4,User Management System,after five consecutive failed login attempts within ten minutes for at least a short period of time.,"[""loophole_or_open_ended"", ""missing_imperative_verb"", ""missing_system_response""]","[""loophole_or_open_ended:add_at_least"", ""missing_imperative_verb:remove_shall"", ""missing_system_response:keep_condition_only""]"
B-023,B-023-S05,5,User Management System,The system shall lock a user account after five consecutive failed login attempts within ten minutes within 5 and shall not allow unauthorized access and send a notification email to the administrator.,"[""missing_unit_of_measurement"", ""negative_formulation"", ""non_atomic_requirement""]","[""missing_unit_of_measurement:add_bare_number"", ""negative_formulation:add_shall_not_allow"", ""non_atomic_requirement:add_notification_action""]"
B-023,B-023-S06,6,User Management System,"Validate input, log the error, send a notification, restart the service including user identifier, timestamp, action, etc..","[""non_verifiable_qualifier"", ""overuse_imperative_form"", ""partial_content_or_incomplete_enumeration""]","[""non_verifiable_qualifier:add_minimal_delay"", ""overuse_imperative_form:replace_with_command_list"", ""partial_content_or_incomplete_enumeration:add_etc_list""]"
B-023,B-023-S07,7,User Management System,The system shall be lock a user account after five consecutive failed login attempts within ten minutes. for a large number of users through a user-friendly and intuitive interface.,"[""passive_voice"", ""punctuation_issue"", ""quantifier_without_unit_or_range"", ""subjective_language""]","[""passive_voice:system_shall_be_pattern"", ""punctuation_issue:remove_commas_and_double_period"", ""quantifier_without_unit_or_range:add_large_number"", ""subjective_language:add_user_friendly_interface""]"
B-023,B-023-S08,8,User Management System,Lock account.,"[""superlative_or_comparative_without_reference"", ""too_long_sentence"", ""too_many_dependencies_or_versions"", ""too_short_sentence""]","[""superlative_or_comparative_without_reference:add_best_method"", ""too_long_sentence:add_and_then_chain"", ""too_many_dependencies_or_versions:add_many_req_refs"", ""too_short_sentence:replace_with_fragment""]"
B-024,B-024-S01,1,User Management System,The system shall unlock a locked user account only when an administrator explicitly unlocks the account and update the internal Compliance Index.,"[""undefined_term""]","[""undefined_term:add_compliance_index""]"
